merchant_id,merchant_name,merchant_category,merchant_size,onboarding_date,merchant_status,settlement_cycle,registered_governorate,registered_city
M00979,Delta Mart 0979,Grocery,Medium,2024-07-17,Active,T+1,Monufia,Shebin El Kom
M00980,Royal Health 0980,Healthcare,Micro,2024-11-18,Active,T+1,North Sinai,Arish
M00981,Family Wear 0981,Fashion,Micro,2022-01-15,Active,T+1,Giza,Mohandessin
M00982,Quick Electronics 0982,Electronics,Micro,2023-07-31,Active,T+0,Beheira,Rashid
M00983,Cairo Kitchen 0983,Restaurants,Medium,2024-05-06,Active,T+1,Gharbia,Zefta - Central
M00984,Smart Bites 0984,Restaurants,Small,2021-02-16,Active,T+2,Gharbia,Kafr El Zayat - Central
M00985,Nova Bites 0985,Restaurants,Small,2021-12-20,Active,T+1,Sharqia,10th of Ramadan - Central
M00986,Quick Station 0986,Fuel,Micro,2024-09-02,Active,T+1,Giza,Sheikh Zayed
M00987,Blue Fun 0987,Entertainment,Small,2023-05-16,Active,T+0,Giza,Imbaba - Central
M00988,Smart Tech 0988,Electronics,Small,2021-08-26,Active,T+2,Cairo,Mokattam
M00989,Blue Online 0989,E-Commerce,Micro,2021-03-09,Active,T+0,Giza,6th of October - Central
M00990,Metro Ride 0990,Transportation,Medium,2023-06-27,Active,T+0,Giza,Imbaba - Central
M00991,Golden Electronics 0991,Electronics,Small,2025-05-18,Active,T+0,Assiut,New Assiut - Central
M00992,Urban Mart 0992,Grocery,Medium,2024-03-10,Active,T+1,Monufia,Menouf
M00993,Pyramid Bites 0993,Restaurants,Enterprise,2022-11-08,Active,T+0,Fayoum,Ibshaway
M00994,Cairo Cafe 0994,Restaurants,Medium,2023-03-19,Active,T+1,Alexandria,Agami - Central
M00995,Golden Care 0995,Pharmacy,Micro,2023-11-28,Active,Unknown,Giza,6th of October - Central
M00996,Royal Care 0996,Pharmacy,Medium,2022-12-14,Active,T+1,Dakahlia,Mansoura
M00997,Lotus Care 0997,Pharmacy,Medium,2025-09-30,Active,T+1,Giza,Faisal - Central
M00998,Cairo Tech 0998,Electronics,Small,2024-08-11,Temporarily Suspended,T+0,Sohag,Sohag
M00999,Smart Bites 0999,Restaurants,Enterprise,2025-08-17,Active,T+0,Giza,Haram
M01000,Metro Tech 1000,Electronics,Small,2021-07-07,Active,T+2,Sharqia,10th of Ramadan - Central
M01001,Nile Bites 1001,Restaurants,Micro,2022-02-17,Active,T+0,Cairo,Shubra - Central
M01002,Urban Foods 1002,Grocery,Micro,2021-11-25,Active,T+1,Matrouh,Siwa
M01003,Family Cafe 1003,Restaurants,Micro,2025-05-25,Active,T+0,Sharqia,Zagazig
M01004,Elite Electronics 1004,Electronics,Small,2023-01-20,Active,T+1,Alexandria,Borg El Arab - Central
M01005,Royal Mart 1005,Grocery,Small,2024-03-23,Active,T+1,Cairo,Downtown - Central
M01006,Metro Bites 1006,Restaurants,Small,2022-09-11,Active,T+1,Qena,Nag Hammadi
M01007,Green Tech 1007,Electronics,Medium,2022-03-03,Active,T+0,Sohag,Tahta
M01008,Blue Electronics 1008,Electronics,Micro,2021-12-28,Active,T+1,Cairo,Downtown
M01009,Prime Mart 1009,Grocery,Micro,2023-08-05,Active,T+1,Assiut,New Assiut
M01010,Family Station 1010,Fuel,Medium,2025-10-29,Active,T+1,Fayoum,Ibshaway - Central
M01011,Golden Style 1011,Fashion,Medium,2022-01-21,Offboarded,T+1,Cairo,Heliopolis
M01012,Smart Market 1012,Grocery,Medium,2023-08-21,Active,T+1,Gharbia,Tanta - Central
M01013,Lotus Bites 1013,Restaurants,Micro,2022-02-08,Active,T+0,Cairo,Nasr City
M01014,Sun Wear 1014,Fashion,Small,2021-07-10,Active,T+2,Alexandria,Miami - Central
M01015,Royal Station 1015,Fuel,Micro,2021-09-05,Active,T+0,Luxor,Armant
M01016,Quick Store 1016,E-Commerce,Micro,2026-04-19,Active,T+1,Giza,Imbaba
M01017,Pyramid Bites 1017,Restaurants,Micro,2022-04-27,Temporarily Suspended,T+2,Gharbia,Kafr El Zayat
M01018,Prime Fuel 1018,Fuel,Medium,2024-06-14,Active,T+1,Kafr El Sheikh,Kafr El Sheikh
M01019,Lotus Mobile 1019,Telecom,Small,2024-05-13,Active,T+0,Beheira,Nubaria
M01020,Nova Learning 1020,Education,Small,2021-07-25,Active,T+2,Giza,Sheikh Zayed
M01021,Cairo Kitchen 1021,Restaurants,Medium,2025-05-02,Active,T+0,Port Said,Port Fouad
M01022,Elite Transit 1022,Transportation,Small,2021-11-14,Active,T+1,Giza,Sheikh Zayed
M01023,Quick Transit 1023,Transportation,Small,2021-01-07,Active,T+1,Alexandria,Sidi Gaber - Central
M01024,Nile Wear 1024,Fashion,Small,2021-10-12,Active,T+1,Giza,Faisal
M01025,Cairo Ride 1025,Transportation,Micro,2024-10-08,Active,T+2,Cairo,Ain Shams - Central
M01026,Green Care 1026,Pharmacy,Medium,2021-06-15,Active,T+1,Qena,Qena
M01027,Nile Pharmacy 1027,Pharmacy,Micro,2023-10-31,Active,T+1,Qalyubia,Banha
M01028,Urban Bites 1028,Restaurants,Micro,2022-08-13,Active,T+1,Giza,Dokki
M01029,Royal Care 1029,Pharmacy,Medium,2022-05-23,Active,T+1,Red Sea,Hurghada
M01030,Prime Academy 1030,Education,Medium,2023-10-28,Active,T+0,Giza,Haram - Central
M01031,Nova Clinic 1031,Healthcare,Small,2024-01-15,Active,T+2,Cairo,Ain Shams
M01032,Quick Transit 1032,Transportation,Micro,2021-05-20,Active,T+2,Giza,Mohandessin - Central
M01033,Delta Kitchen 1033,Restaurants,Small,2022-01-18,Active,T+0,Dakahlia,Mansoura - Central
M01034,Cairo Online 1034,E-Commerce,Enterprise,2021-04-22,Active,T+1,Cairo,Downtown - Central
M01035,Smart Clinic 1035,Healthcare,Small,2024-11-03,Active,T+1,Dakahlia,Talkha
M01036,Urban Wear 1036,Fashion,Small,2021-07-22,Active,T+1,South Sinai,El Tor
M01037,Royal Mart 1037,Grocery,Micro,2025-03-12,Active,T+2,Dakahlia,Aga
M01038,Sun Care 1038,Pharmacy,Micro,2024-11-21,Active,T+1,Gharbia,Tanta - Central
M01039,Green Ride 1039,Transportation,Micro,2024-04-25,Active,T+1,Cairo,New Cairo
M01040,Delta Store 1040,E-Commerce,Small,2024-07-14,Active,T+2,Cairo,New Cairo
M01041,Royal Foods 1041,Grocery,Medium,2022-01-31,Active,T+1,Luxor,Luxor
M01042,Elite Cafe 1042,Restaurants,Medium,2024-11-13,Active,T+0,Qalyubia,Khanka
M01043,Urban Store 1043,E-Commerce,Medium,2024-01-08,Active,T+1,Kafr El Sheikh,Kafr El Sheikh
M01044,Quick Mobile 1044,Telecom,Small,2023-07-13,Active,T+1,Luxor,Luxor
M01045,Royal Learning 1045,Education,Enterprise,2024-06-15,Active,T+2,Dakahlia,Aga
M01046,Delta Market 1046,Grocery,Small,2021-04-13,Active,T+0,Cairo,Maadi
M01047,Quick Learning 1047,Education,Micro,2021-04-30,Active,T+1,Cairo,Shubra - Central
M01048,Delta Academy 1048,Education,Medium,2023-12-21,Active,T+1,Damietta,Faraskour - Central
M01049,Sun Mart 1049,Grocery,Micro,2024-10-10,Active,T+1,Ismailia,Qantara
M01050,Nova Fun 1050,Entertainment,Small,2023-09-15,Active,T+0,Giza,Dokki - Central
M01051,Elite Fuel 1051,Fuel,Micro,2024-08-28,Active,T+1,Dakahlia,Mansoura - Central
M01052,Elite Pharmacy 1052,Pharmacy,Small,2021-11-14,Active,T+1,Qalyubia,Shubra El Kheima
M01053,Delta Market 1053,Grocery,Micro,2023-08-15,Active,Unknown,Gharbia,Tanta
M01054,Urban Station 1054,Fuel,Small,2025-09-20,Active,T+1,Giza,Mohandessin
M01055,Cairo Pharmacy 1055,Pharmacy,Micro,2021-02-16,Active,T+0,Giza,6th of October - Central
M01056,Delta Health 1056,Healthcare,Micro,2023-09-20,Active,T+1,Cairo,Ain Shams - Central
M01057,Golden Clinic 1057,Healthcare,Small,2024-05-20,Active,T+1,Giza,Haram - Central
M01058,Royal Academy 1058,Education,Small,2024-03-20,Active,T+2,Luxor,Armant
M01059,Royal Learning 1059,Education,Micro,2022-06-12,Active,T+1,Giza,Sheikh Zayed
M01060,Lotus Ride 1060,Transportation,Medium,2022-05-03,Active,T+0,Cairo,Mokattam - Central
M01061,Elite Ride 1061,Transportation,Small,2023-05-29,Active,T+1,Aswan,Kom Ombo
M01062,Lotus Fuel 1062,Fuel,Micro,2022-08-25,Active,T+1,Giza,Imbaba - Central
M01063,Elite Mart 1063,Grocery,Small,2022-07-30,Active,T+1,Cairo,Mokattam - Central
M01064,Urban Foods 1064,Grocery,Enterprise,2023-04-15,Active,T+2,Cairo,Ain Shams
M01065,Golden Online 1065,E-Commerce,Micro,2021-09-24,Active,T+2,Cairo,New Cairo
M01066,Elite Style 1066,Fashion,Small,2024-10-31,Active,T+0,Cairo,Maadi - Central
M01067,Quick Transit 1067,Transportation,Micro,2023-09-01,Active,T+1,Assiut,Assiut - Central
M01068,Lotus Pharmacy 1068,Pharmacy,Medium,2021-07-16,Active,T+1,Beheira,Damanhur
M01069,Prime Fuel 1069,Fuel,Micro,2025-08-03,Active,T+1,Qalyubia,Banha - Central
M01070,Nova Station 1070,Fuel,Micro,2021-12-14,Active,T+1,Gharbia,El Mahalla El Kubra - Central
M01071,Nova Academy 1071,Education,Micro,2021-03-19,Active,T+1,Qena,Qena
M01072,Urban Mart 1072,Grocery,Small,2023-12-16,Active,T+2,Cairo,Downtown
M01073,Urban Academy 1073,Education,Enterprise,2023-07-14,Active,T+2,Giza,Haram - Central
M01074,Quick Tech 1074,Electronics,Medium,2024-11-22,Active,T+1,Giza,Faisal
M01075,Sun Learning 1075,Education,Micro,2024-03-07,Active,T+1,Port Said,Port Said - Central
M01076,Blue Bites 1076,Restaurants,Small,2023-08-24,Active,T+0,Alexandria,Borg El Arab
M01077,Delta Pharmacy 1077,Pharmacy,Micro,2022-12-26,Active,T+1,Assiut,Dairut - Central
M01078,Nile Pharmacy 1078,Pharmacy,Micro,2022-09-01,Active,T+2,Beheira,Damanhur
M01079,Golden Ride 1079,Transportation,Small,2022-12-29,Active,T+1,Cairo,Shubra
M01080,Nile Pharmacy 1080,Pharmacy,Micro,2024-11-18,Active,T+0,Alexandria,Miami
M01081,Metro Market 1081,Grocery,Small,2025-06-06,Active,T+0,Suez,Ain Sokhna
M01082,Cairo Ride 1082,Transportation,Medium,2024-06-20,Offboarded,T+1,Sharqia,Abu Hammad - Central
M01083,Lotus Health 1083,Healthcare,Micro,2023-02-23,Active,T+2,Sohag,Tahta
M01084,Lotus Wear 1084,Fashion,Small,2022-11-22,Active,T+1,Giza,Haram
M01085,Sun Care 1085,Pharmacy,Micro,2023-07-10,Active,T+1,Giza,Mohandessin
M01086,Elite Store 1086,E-Commerce,Micro,2024-04-10,Active,T+2,Alexandria,Borg El Arab
M01087,Quick Online 1087,E-Commerce,Micro,2023-06-14,Active,T+0,Ismailia,Ismailia - Central
M01088,Royal Electronics 1088,Electronics,Small,2022-06-07,Temporarily Suspended,T+0,Beheira,Kafr El Dawwar - Central
M01089,Metro Health 1089,Healthcare,Micro,2021-07-18,Active,T+2,Cairo,Downtown
M01090,Elite Market 1090,Grocery,Micro,2023-03-07,Active,T+1,Giza,Imbaba
M01091,Cairo Mart 1091,Grocery,Medium,2022-12-19,Active,T+1,Kafr El Sheikh,Sidi Salem
M01092,Family Mart 1092,Grocery,Small,2023-03-10,Active,T+2,Giza,Dokki
M01093,Urban Market 1093,Grocery,Medium,2021-04-05,Active,T+1,Beheira,Damanhur - Central
M01094,Pyramid Transit 1094,Transportation,Medium,2023-08-16,Active,T+1,Luxor,Armant
M01095,Nile Learning 1095,Education,Micro,2026-05-14,Offboarded,T+0,Cairo,Downtown - Central
M01096,Green Station 1096,Fuel,Small,2021-08-19,Active,T+1,Kafr El Sheikh,Desouk - Central
M01097,Lotus Store 1097,E-Commerce,Small,2022-09-11,Active,T+1,Ismailia,Qantara - Central
M01098,Delta Kitchen 1098,Restaurants,Micro,2023-08-19,Active,T+0,Giza,Imbaba
M01099,Delta Online 1099,E-Commerce,Micro,2023-09-12,Active,T+0,Giza,Imbaba
M01100,Urban Connect 1100,Telecom,Micro,2022-04-27,Active,T+1,Cairo,New Cairo - Central
M01101,Green Electronics 1101,Electronics,Medium,2025-04-29,Active,T+2,Cairo,Nasr City - Central
M01102,Nova Foods 1102,Grocery,Medium,2024-08-23,Active,T+2,Beni Suef,Beni Suef - Central
M01103,Golden Academy 1103,Education,Small,2024-11-21,Active,T+1,Cairo,Shubra - Central
M01104,Elite Foods 1104,Grocery,Micro,2021-02-16,Active,T+0,Ismailia,Ismailia - Central
M01105,Metro Ride 1105,Transportation,Micro,2023-02-03,Active,T+2,Cairo,Nasr City
M01106,Blue Style 1106,Fashion,Small,2021-02-16,Active,T+1,Suez,Suez
M01107,Nile Kitchen 1107,Restaurants,Micro,2022-04-16,Active,T+1,Port Said,Port Said - Central
M01108,Nile Mobile 1108,Telecom,Micro,2023-03-07,Active,T+1,Cairo,Nasr City - Central
M01109,Delta Ride 1109,Transportation,Micro,2021-09-22,Active,T+1,Gharbia,Zefta - Central
M01110,Green Foods 1110,Grocery,Medium,2023-11-02,Active,T+1,Cairo,Heliopolis
M01111,Blue Market 1111,Grocery,Micro,2021-07-30,Active,T+0,Cairo,Shubra
M01112,Lotus Store 1112,E-Commerce,Micro,2022-01-06,Active,T+1,Qalyubia,Banha - Central
M01113,Delta Pharmacy 1113,Pharmacy,Enterprise,2022-07-13,Active,T+1,Cairo,Heliopolis - Central
M01114,Cairo Mart 1114,Grocery,Micro,2021-04-26,Active,T+0,Cairo,Ain Shams - Central
M01115,Prime Learning 1115,Education,Small,2026-03-24,Active,T+2,Minya,Mallawi
M01116,Prime Cinema 1116,Entertainment,Medium,2026-03-20,Active,T+2,Cairo,Maadi
M01117,Golden Electronics 1117,Electronics,Micro,2023-08-13,Active,T+0,Gharbia,Kafr El Zayat - Central
M01118,Elite Online 1118,E-Commerce,Enterprise,2024-09-27,Active,T+1,Giza,6th of October - Central
M01119,Nile Care 1119,Pharmacy,Medium,2024-06-07,Active,T+1,Cairo,Nasr City - Central
M01120,Prime Kitchen 1120,Restaurants,Small,2024-07-24,Active,Unknown,Cairo,New Cairo
M01121,Prime Clinic 1121,Healthcare,Micro,2021-08-13,Active,T+1,Giza,Sheikh Zayed - Central
M01122,Elite Cafe 1122,Restaurants,Small,2021-09-23,Active,T+1,Cairo,New Cairo - Central
M01123,Metro Foods 1123,Grocery,Micro,2024-09-20,Active,T+1,Dakahlia,Belqas
M01124,Nile Store 1124,E-Commerce,Micro,2022-03-22,Active,T+1,Alexandria,Agami - Central
M01125,Metro Pharmacy 1125,Pharmacy,Small,2021-07-16,Active,T+0,Gharbia,Zefta - Central
M01126,Royal Store 1126,E-Commerce,Small,2023-05-18,Active,T+1,Cairo,Downtown - Central
M01127,Golden Foods 1127,Grocery,Micro,2024-09-07,Active,T+1,Giza,Imbaba
M01128,Prime Store 1128,E-Commerce,Small,2022-12-13,Active,T+2,Port Said,Port Said - Central
M01129,Nile Electronics 1129,Electronics,Small,2022-01-25,Active,T+2,Gharbia,Tanta
M01130,Elite Transit 1130,Transportation,Micro,2023-08-20,Active,T+1,Monufia,Sadat City - Central
M01131,Urban Market 1131,Grocery,Micro,2026-02-07,Active,T+1,Gharbia,El Mahalla El Kubra
M01132,Delta Ride 1132,Transportation,Medium,2021-01-05,Active,T+1,Gharbia,El Mahalla El Kubra
M01133,Urban Mobile 1133,Telecom,Small,2025-06-23,Active,T+1,Cairo,Ain Shams - Central
M01134,Sun Style 1134,Fashion,Micro,2024-06-19,Active,T+1,Sharqia,10th of Ramadan - Central
M01135,Metro Foods 1135,Grocery,Medium,2022-11-24,Active,T+1,Sharqia,Abu Hammad
M01136,Prime Kitchen 1136,Restaurants,Micro,2023-04-13,Active,T+1,Minya,Beni Mazar - Central
M01137,Golden Tech 1137,Electronics,Medium,2022-07-28,Active,T+1,Cairo,Shubra
M01138,Delta Style 1138,Fashion,Small,2022-08-24,Active,T+2,Giza,Haram - Central
M01139,Lotus Care 1139,Pharmacy,Small,2024-03-28,Active,T+2,Dakahlia,Belqas - Central
M01140,Delta Transit 1140,Transportation,Micro,2021-01-13,Active,T+0,Alexandria,Miami - Central
M01141,Blue Foods 1141,Grocery,Micro,2023-09-22,Active,T+1,New Valley,Dakhla
M01142,Lotus Kitchen 1142,Restaurants,Micro,2023-04-24,Active,T+0,Alexandria,Sidi Gaber
M01143,Nile Store 1143,E-Commerce,Medium,2023-08-22,Active,T+1,Qalyubia,Obour - Central
M01144,Royal Store 1144,E-Commerce,Small,2024-09-17,Active,T+1,Giza,Dokki
M01145,Family Mart 1145,Grocery,Micro,2021-08-26,Active,T+1,Giza,Imbaba
M01146,Golden Mart 1146,Grocery,Micro,2023-04-15,Active,T+2,Alexandria,Agami
M01147,Green Ride 1147,Transportation,Small,2022-04-12,Temporarily Suspended,T+2,Alexandria,Stanley - Central
M01148,Quick Style 1148,Fashion,Medium,2021-03-15,Active,T+1,Cairo,New Cairo - Central
M01149,Blue Station 1149,Fuel,Micro,2022-12-30,Active,T+0,Damietta,Faraskour
M01150,Lotus Connect 1150,Telecom,Medium,2022-07-06,Active,T+1,Cairo,Heliopolis
M01151,Blue Online 1151,E-Commerce,Micro,2023-05-03,Active,T+1,Giza,Haram
M01152,Elite Cafe 1152,Restaurants,Small,2022-07-28,Active,T+1,Cairo,Ain Shams
M01153,Golden Mart 1153,Grocery,Micro,2025-08-26,Active,T+0,Giza,Imbaba - Central
M01154,Pyramid Health 1154,Healthcare,Enterprise,2024-09-29,Active,T+1,Dakahlia,Mansoura
M01155,Cairo Foods 1155,Grocery,Small,2024-03-20,Active,T+2,Cairo,Downtown - Central
M01156,Urban Bites 1156,Restaurants,Micro,2024-10-17,Active,T+2,Alexandria,Borg El Arab - Central
M01157,Delta Fuel 1157,Fuel,Small,2022-01-13,Active,T+0,Giza,Haram - Central
M01158,Blue Ride 1158,Transportation,Micro,2023-10-04,Temporarily Suspended,T+0,Aswan,Edfu
M01159,Elite Cafe 1159,Restaurants,Micro,2023-09-02,Active,T+1,Sohag,Sohag
M01160,Nova Pharmacy 1160,Pharmacy,Small,2022-03-16,Active,T+2,Qalyubia,Banha - Central
M01161,Nile Kitchen 1161,Restaurants,Micro,2023-01-26,Active,T+2,Aswan,Aswan
M01162,Golden Kitchen 1162,Restaurants,Micro,2023-06-25,Active,T+2,Luxor,Luxor
M01163,Pyramid Foods 1163,Grocery,Small,2023-11-24,Active,T+0,Giza,Haram
M01164,Smart Cafe 1164,Restaurants,Small,2025-12-09,Active,T+2,Alexandria,Sidi Gaber
M01165,Metro Care 1165,Pharmacy,Small,2021-08-14,Active,T+1,Cairo,Maadi
M01166,Lotus Bites 1166,Restaurants,Medium,2022-09-13,Active,T+2,Cairo,Maadi
M01167,Prime Cinema 1167,Entertainment,Enterprise,2025-05-15,Active,T+0,Sohag,Sohag
M01168,Pyramid Store 1168,E-Commerce,Small,2024-12-28,Active,T+1,Alexandria,Sidi Gaber
M01169,Nova Market 1169,Grocery,Medium,2022-02-05,Active,T+1,Dakahlia,Mit Ghamr
M01170,Family Clinic 1170,Healthcare,Micro,2024-07-09,Active,T+1,Alexandria,Agami - Central
M01171,Quick Fuel 1171,Fuel,Micro,2023-06-17,Active,T+1,Giza,Sheikh Zayed
M01172,Elite Foods 1172,Grocery,Micro,2022-05-13,Active,T+0,Sharqia,Minya Al Qamh - Central
M01173,Pyramid Clinic 1173,Healthcare,Medium,2022-04-05,Active,T+2,Giza,Faisal
M01174,Urban Style 1174,Fashion,Medium,2024-11-06,Active,T+1,Beheira,Kafr El Dawwar
M01175,Sun Market 1175,Grocery,Micro,2022-03-17,Active,T+1,Sohag,Akhmim
M01176,Delta Clinic 1176,Healthcare,Micro,2021-07-13,Active,T+2,Assiut,Manfalut
M01177,Prime Cafe 1177,Restaurants,Micro,2024-06-04,Active,T+1,Gharbia,Zefta
M01178,Cairo Transit 1178,Transportation,Small,2023-08-25,Active,T+1,Cairo,Heliopolis
M01179,Golden Style 1179,Fashion,Small,2023-09-25,Active,T+1,Sohag,Akhmim
M01180,Prime Bites 1180,Restaurants,Micro,2024-11-22,Active,T+1,Sharqia,Abu Hammad
M01181,Elite Clinic 1181,Healthcare,Micro,2022-08-31,Active,T+1,Cairo,Shubra
M01182,Cairo Mart 1182,Grocery,Micro,2025-04-12,Active,T+1,Cairo,Shubra
M01183,Pyramid Transit 1183,Transportation,Small,2023-09-17,Active,T+1,Beheira,Kafr El Dawwar
M01184,Nile Wear 1184,Fashion,Medium,2023-05-03,Active,T+1,Dakahlia,Aga - Central
M01185,Lotus Bites 1185,Restaurants,Micro,2023-07-25,Active,T+2,Sharqia,Abu Hammad
M01186,Pyramid Kitchen 1186,Restaurants,Medium,2024-07-10,Active,T+1,Alexandria,Sidi Gaber - Central
M01187,Metro Tech 1187,Electronics,Micro,2022-07-19,Active,T+1,Ismailia,Fayed
M01188,Lotus Store 1188,E-Commerce,Micro,2021-10-18,Active,T+2,Alexandria,Smouha - Central
M01189,Sun Online 1189,E-Commerce,Medium,2024-08-15,Active,T+1,Cairo,Heliopolis - Central
M01190,Metro Online 1190,E-Commerce,Micro,2021-06-20,Active,T+1,Port Said,Port Fouad - Central
M01191,Smart Kitchen 1191,Restaurants,Micro,2023-10-31,Active,T+1,Minya,Mallawi - Central
M01192,Pyramid Academy 1192,Education,Micro,2021-01-25,Active,T+2,Monufia,Ashmoun
M01193,Green Care 1193,Pharmacy,Micro,2023-08-24,Active,T+1,Alexandria,Agami
M01194,Family Style 1194,Fashion,Enterprise,2023-03-13,Active,T+1,Fayoum,Sinnuris - Central
M01195,Delta Pharmacy 1195,Pharmacy,Micro,2024-11-26,Active,T+1,Qalyubia,Shubra El Kheima
M01196,Nova Style 1196,Fashion,Micro,2024-12-21,Active,T+1,Port Said,Port Said
M01197,Royal Mart 1197,Grocery,Medium,2022-01-22,Active,T+1,Gharbia,Kafr El Zayat - Central
M01198,Quick Style 1198,Fashion,Micro,2023-09-26,Active,T+2,Giza,6th of October
M01199,Nile Wear 1199,Fashion,Medium,2025-08-04,Active,T+1,Assiut,Dairut - Central
M01200,Metro Kitchen 1200,Restaurants,Micro,2026-04-12,Active,T+0,Dakahlia,Mit Ghamr - Central
M01201,Lotus Wear 1201,Fashion,Micro,2022-08-24,Active,T+1,Monufia,Shebin El Kom - Central
M01202,Cairo Academy 1202,Education,Small,2021-07-02,Active,T+1,Qena,Qena
M01203,Lotus Ride 1203,Transportation,Micro,2021-07-04,Active,T+0,Alexandria,Smouha
M01204,Metro Market 1204,Grocery,Micro,2024-07-30,Active,T+1,Port Said,Port Said - Central
M01205,Quick Transit 1205,Transportation,Small,2022-10-17,Active,T+2,Gharbia,Tanta
M01206,Pyramid Market 1206,Grocery,Micro,2023-12-14,Active,T+2,Alexandria,Stanley - Central
M01207,Family Health 1207,Healthcare,Small,2023-10-02,Active,T+1,Gharbia,El Mahalla El Kubra - Central
M01208,Golden Online 1208,E-Commerce,Enterprise,2023-04-09,Active,T+1,Dakahlia,Belqas
M01209,Cairo Pharmacy 1209,Pharmacy,Micro,2021-05-14,Active,T+1,Sharqia,Minya Al Qamh
M01210,Nile Cafe 1210,Restaurants,Micro,2021-10-12,Active,T+2,Alexandria,Sidi Gaber
M01211,Family Mobile 1211,Telecom,Small,2022-10-01,Active,T+1,Beheira,Rashid
M01212,Golden Ride 1212,Transportation,Enterprise,2025-06-04,Active,T+1,Giza,Mohandessin - Central
M01213,Pyramid Kitchen 1213,Restaurants,Micro,2024-04-22,Active,T+1,Sohag,Akhmim
M01214,Nova Cinema 1214,Entertainment,Small,2022-09-14,Active,T+1,Kafr El Sheikh,Kafr El Sheikh
M01215,Metro Mart 1215,Grocery,Medium,2022-02-03,Active,T+1,Aswan,Aswan
M01216,Nile Station 1216,Fuel,Micro,2024-09-16,Active,T+0,Assiut,Assiut - Central
M01217,Royal Care 1217,Pharmacy,Small,2024-03-23,Active,T+1,Giza,Mohandessin - Central
M01218,Urban Care 1218,Pharmacy,Small,2023-10-24,Active,T+2,Beheira,Damanhur
M01219,Cairo Electronics 1219,Electronics,Micro,2023-10-13,Active,T+1,Aswan,Aswan
M01220,Pyramid Clinic 1220,Healthcare,Medium,2021-12-22,Active,T+1,Sharqia,Belbeis
M01221,Green Online 1221,E-Commerce,Enterprise,2023-04-24,Active,T+0,Cairo,Downtown - Central
M01222,Prime Store 1222,E-Commerce,Micro,2021-01-11,Active,T+1,Kafr El Sheikh,Sidi Salem - Central
M01223,Cairo Care 1223,Pharmacy,Small,2024-07-27,Active,T+0,Alexandria,Agami - Central
M01224,Family Ride 1224,Transportation,Micro,2024-01-21,Active,T+2,Alexandria,Sidi Gaber
M01225,Urban Ride 1225,Transportation,Small,2021-08-22,Active,T+1,Minya,Mallawi - Central
M01226,Quick Care 1226,Pharmacy,Micro,2024-08-03,Active,T+1,Cairo,Shubra - Central
M01227,Green Electronics 1227,Electronics,Medium,2022-01-12,Active,T+2,Minya,Beni Mazar - Central
M01228,Delta Care 1228,Pharmacy,Micro,2022-09-13,Active,T+1,Qalyubia,Khanka - Central
M01229,Blue Mart 1229,Grocery,Micro,2026-05-30,Active,T+0,Alexandria,Miami - Central
M01230,Metro Care 1230,Pharmacy,Micro,2024-03-06,Active,T+1,Dakahlia,Mansoura - Central
M01231,Delta Ride 1231,Transportation,Micro,2022-10-25,Active,T+1,Giza,Faisal - Central
M01232,Delta Cinema 1232,Entertainment,Micro,2021-12-27,Active,T+0,Minya,Minya
M01233,Golden Learning 1233,Education,Medium,2024-11-27,Active,T+2,Sharqia,10th of Ramadan
M01234,Family Learning 1234,Education,Small,2021-09-02,Active,T+2,Port Said,Port Said
M01235,Nova Foods 1235,Grocery,Small,2022-04-02,Active,T+2,Minya,Samalut
M01236,Blue Mobile 1236,Telecom,Micro,2024-10-17,Active,T+1,Giza,Dokki - Central
M01237,Urban Ride 1237,Transportation,Micro,2023-03-02,Active,T+1,Giza,Imbaba - Central
M01238,Delta Foods 1238,Grocery,Small,2024-08-18,Active,T+0,Monufia,Shebin El Kom - Central
M01239,Urban Health 1239,Healthcare,Medium,2024-12-04,Active,T+2,Giza,Dokki - Central
M01240,Family Cafe 1240,Restaurants,Micro,2025-03-12,Active,T+1,Alexandria,Sidi Gaber
M01241,Smart Bites 1241,Restaurants,Micro,2022-10-07,Active,T+0,Cairo,Heliopolis
M01242,Nova Online 1242,E-Commerce,Small,2022-04-07,Active,T+2,Cairo,Ain Shams - Central
M01243,Pyramid Bites 1243,Restaurants,Small,2024-02-07,Active,T+0,Kafr El Sheikh,Kafr El Sheikh - Central
M01244,Urban Cafe 1244,Restaurants,Small,2024-08-04,Temporarily Suspended,T+1,Kafr El Sheikh,Sidi Salem - Central
M01245,Urban Clinic 1245,Healthcare,Micro,2024-03-04,Active,T+2,Giza,Dokki - Central
M01246,Sun Health 1246,Healthcare,Micro,2022-12-19,Active,T+1,Cairo,Mokattam
M01247,Nile Kitchen 1247,Restaurants,Small,2024-08-12,Active,T+1,Cairo,Maadi
M01248,Golden Style 1248,Fashion,Small,2022-09-25,Active,T+1,Giza,Sheikh Zayed
M01249,Delta Cafe 1249,Restaurants,Small,2024-10-10,Active,T+1,Suez,Ain Sokhna - Central
M01250,Green Ride 1250,Transportation,Medium,2023-08-02,Active,T+2,Gharbia,Tanta
M01251,Prime Market 1251,Grocery,Small,2024-05-04,Active,T+2,Gharbia,Tanta - Central
M01252,Lotus Academy 1252,Education,Medium,2024-05-21,Active,T+1,Sharqia,10th of Ramadan - Central
